epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6211.31,0.50387,0.40887,1.06997,0.96959,0.9797,0.97984,0.85229,0.56594,0.37716,1.08076,0.000222744,0.000222744,0.000222744
76,6294.32,0.49496,0.40721,1.06466,0.97048,0.98071,0.98117,0.85487,0.56157,0.37363,1.07941,0.000214497,0.000214497,0.000214497
77,6377.31,0.49807,0.4021,1.06954,0.97068,0.98136,0.97954,0.8558,0.55186,0.37969,1.06653,0.000206251,0.000206251,0.000206251
78,6460.48,0.49844,0.39614,1.06576,0.97436,0.98035,0.98094,0.85715,0.55154,0.37189,1.06349,0.000198004,0.000198004,0.000198004
79,6543.76,0.50206,0.40771,1.07024,0.96975,0.97953,0.98013,0.85694,0.55577,0.37234,1.06746,0.000189757,0.000189757,0.000189757
80,6626.65,0.49041,0.40026,1.05972,0.9698,0.98318,0.98102,0.85656,0.54631,0.37136,1.06076,0.000181511,0.000181511,0.000181511
81,6709.59,0.49341,0.40478,1.06542,0.96921,0.98064,0.97998,0.85391,0.55276,0.37992,1.07254,0.000173264,0.000173264,0.000173264
82,6792.65,0.47798,0.39299,1.05361,0.96998,0.98239,0.97945,0.85725,0.5437,0.37835,1.06569,0.000165017,0.000165017,0.000165017
83,6875.56,0.4779,0.39327,1.05227,0.97102,0.98434,0.98036,0.85792,0.54212,0.3764,1.06265,0.000156771,0.000156771,0.000156771
84,6958.84,0.47846,0.38632,1.05755,0.96913,0.98289,0.98107,0.85902,0.54362,0.37405,1.06738,0.000148524,0.000148524,0.000148524
85,7042.22,0.47314,0.38955,1.05067,0.97085,0.98125,0.98003,0.85862,0.54621,0.37254,1.06879,0.000140277,0.000140277,0.000140277
86,7125.16,0.47474,0.39189,1.05128,0.96795,0.98124,0.97851,0.85484,0.53929,0.37918,1.06096,0.000132031,0.000132031,0.000132031
87,7208.14,0.46977,0.38605,1.04578,0.96758,0.98554,0.98114,0.85969,0.53502,0.37409,1.05887,0.000123784,0.000123784,0.000123784
88,7291.5,0.45597,0.37267,1.041,0.97354,0.9794,0.98117,0.86037,0.5336,0.36944,1.05737,0.000115537,0.000115537,0.000115537
89,7374.9,0.45827,0.37407,1.03938,0.96873,0.98066,0.98049,0.85944,0.53527,0.36843,1.05993,0.00010729,0.00010729,0.00010729
90,7457.99,0.46142,0.37694,1.04416,0.96926,0.98071,0.98042,0.85964,0.53739,0.37326,1.0707,9.90437e-05,9.90437e-05,9.90437e-05
91,7541.94,0.42796,0.3306,1.07605,0.96953,0.98426,0.98144,0.85669,0.54008,0.37096,1.0695,9.0797e-05,9.0797e-05,9.0797e-05
92,7624.98,0.41495,0.31225,1.06654,0.96761,0.98275,0.98181,0.859,0.53822,0.36516,1.06819,8.25503e-05,8.25503e-05,8.25503e-05
93,7707.94,0.40872,0.31147,1.05811,0.96908,0.98184,0.98163,0.8544,0.54131,0.36425,1.06795,7.43036e-05,7.43036e-05,7.43036e-05
94,7791,0.40115,0.30673,1.052,0.96574,0.98621,0.98167,0.85723,0.53688,0.36963,1.06757,6.60569e-05,6.60569e-05,6.60569e-05
95,7874.37,0.39395,0.30095,1.05156,0.97028,0.98318,0.98234,0.86045,0.53522,0.3642,1.06766,5.78102e-05,5.78102e-05,5.78102e-05
96,7957.83,0.39095,0.30065,1.04374,0.97017,0.98212,0.98204,0.86052,0.53131,0.3648,1.06315,4.95635e-05,4.95635e-05,4.95635e-05
97,8041.09,0.39113,0.30019,1.05005,0.97164,0.97848,0.98172,0.85935,0.53363,0.36302,1.06454,4.13168e-05,4.13168e-05,4.13168e-05
98,8123.95,0.38472,0.29293,1.04355,0.97366,0.9803,0.98261,0.86295,0.53301,0.3613,1.06342,3.30701e-05,3.30701e-05,3.30701e-05
99,8207.27,0.37692,0.28835,1.03235,0.97271,0.97913,0.98244,0.86181,0.53133,0.36166,1.0641,2.48234e-05,2.48234e-05,2.48234e-05
100,8290.27,0.37217,0.28569,1.02937,0.97422,0.97838,0.98257,0.8619,0.53235,0.36073,1.06623,1.65767e-05,1.65767e-05,1.65767e-05
